ゆずこしょうだれ,Dゆずこしょうだれ 700ml,700,ml,735,1.1,食材,17,,,1
牛モモステーキソース,牛モモステーキオイルソース 700g,700,g,1420,2.0,食材,17,,,1
梅だれ,梅だれ700ｍｌ,700,ml,735,1.1,食材,17,,,1
タンドリーチキンオイル,タンドリーチキンオイル 700g,700,g,1300,1.9,食材,17,,,0
キムチ鍋スープ,キムチ鍋スープ 720g(精肉),720,g,186,0.3,食材,17,,,1
天丼のたれ,天丼のたれ,600,g,440,0.7,食材,17,,,0
マヨカルパッチョソース,マヨカルパッチョソース550ｇ,550,g,520,0.9,食材,17,,,0
焼き込みチーズソース,焼き込みチーズソース 400g,400,g,375,0.9,食材,17,,,0
エビマヨソース,エビマヨソース400g,400,g,375,0.9,食材,17,,,1
食研 アボガドソース,アボガドクリームソース 400g,400,g,470,1.2,食材,17,,,0
かにたっぷりあんかけ,かにたっぷりあんかけRT 500g,500,g,479,1.0,食材,17,,,0
サルサソース,サルサソース,500,g,440,0.9,食材,17,,,0
七味焼の素,七味焼の素 500g,500,g,585,1.2,食材,17,,,1
ジャージャー麺の素,ジャージャー麺の素RT500g,500,g,565,1.1,食材,17,,,0
浅漬けの素,D浅漬けの素 500g,500,g,860,1.7,食材,17,,,1
海鮮西京味噌,海鮮西京味噌 1000g,1000,g,480,0.5,食材,17,,,0
ごま和えの素,ごま和えの素 500g,500,g,715,1.4,食材,17,,,1
辛子和えの素,辛子和えの素 50g,50,g,80,1.6,食材,17,,,1
ドライカレーの素,ドライカレーの素 600ｇ,600,g,750,1.3,食材,17,,,1
チキンライスの素,チキンライスの素 600g,600,g,750,1.3,食材,17,,,1
おにぎりの素 ひじき,おにぎりの素 ひじき 250g,250,g,680,2.7,食材,17,,,0
カリカリ梅,おにぎりの素 カリカリ梅,500,g,750,1.5,食材,17,,,0
十八雑穀ごはんの素,十八雑穀ごはんの素,100,g,230,2.3,食材,17,,,1
あさりめしの素,あさり飯の素  500ｇ  冷凍,500,g,650,1.3,食材,17,,,0
野沢菜ごはんの素,野沢菜ごはんの素  500ｇ,500,g,750,1.5,食材,17,,,0
豆サラダ 500g,豆サラダ 500g,500,g,475,1.0,食材,17,,,0
ひじきサラダ,ひじきサラダ  500ｇ,500,g,600,1.2,食材,17,,,0
彩り野菜ミックス,彩り野菜ミックス,500,g,430,0.9,食材,17,,,0
アボガドカット,アボカドカット  500ｇ,500,g,800,1.6,食材,17,,,1
食研 ほぐし鶏,ほぐし鶏,500,g,525,1.1,食材,17,,,1
食研 中華くらげ,中華くらげ,500,g,725,1.5,食材,17,,,1
ふきの煮物,ふきの煮物 1.2kg,1200,g,1000,0.8,食材,17,,,0
ピリ辛こんにゃく,ピリ辛こんにゃく  950g,950,g,570,0.6,食材,17,,,0
